approxkl,clipfrac,explained_variance,ep_len_mean,policy_entropy,fps,true_reward,ep_reward_mean,serial_timesteps,n_updates,time_elapsed,policy_loss,total_timesteps,value_loss
0.0023329456,0.017944,0.8918584436178207,26.25,5.3584266,227520,-0.009932926,0.4586955561133982,15250,61,20.099132299423218,-0.0025085397,1525000,0.09429071
0.002263242,0.020004,0.9044432267546654,26.44,5.352495,233954,-0.003746666,0.320889570426898,15500,62,20.43899893760681,-0.0029089432,1550000,0.08185379
0.0022087067,0.018028,0.8915868103504181,27.2,5.346632,228891,-0.008839896,0.5831518990134463,15750,63,20.761637926101685,-0.002766551,1575000,0.08668041
0.0029837817,0.026856001,0.896803729236126,25.55,5.340681,234327,-0.0078000384,0.4866595942002459,16000,64,21.090999603271484,-0.0031648935,1600000,0.084282294
0.0025115372,0.021116,0.9069374352693558,26.09,5.3376794,241593,-0.0052945227,0.5423749314899942,16250,65,21.411837100982666,-0.0028102188,1625000,0.07777516
0.0033705079,0.03082,0.8938224092125893,25.12,5.335683,241426,-0.0065453365,0.6089777058520849,16500,66,21.735452890396118,-0.002852571,1650000,0.087020785
0.0022627313,0.01704,0.9027708321809769,26.9,5.3295336,239088,-0.009133356,0.3177335455356842,16750,67,22.05916476249695,-0.002696442,1675000,0.08306837
0.001810781,0.011096001,0.9060820713639259,24.9,5.3238935,238568,-0.009277339,0.5174002850421994,17000,68,22.377455711364746,-0.002242465,1700000,0.077705346
0.0025785936,0.021448,0.9093038663268089,26.26,5.315833,233374,-0.0083769,0.2912972172914124,17250,69,22.702008485794067,-0.0030278547,1725000,0.07670893
0.0027694409,0.022516001,0.9059544205665588,25.62,5.307427,234185,-0.008625779,0.45341531251153355,17500,70,23.030006408691406,-0.002599731,1750000,0.07881307
0.0025676172,0.02062,0.9150437489151955,25.6,5.2980747,231884,-0.009291608,0.3765780180663569,17750,71,23.35578989982605,-0.0029229952,1775000,0.08165227
