value_loss,serial_timesteps,time_elapsed,total_timesteps,ep_len_mean,clipfrac,n_updates,fps,approxkl,true_reward,explained_variance,policy_entropy,policy_loss,ep_reward_mean
0.068125114,16750,324.16056871414185,1675000,37.9,0.099912,67,5635,0.007967004,0.09865339,0.9586262963712215,5.3251114,-0.003508695,3.5896250036731363
0.07289469,17000,328.85502409935,1700000,40.74,0.129276,68,5486,0.011067832,0.099099785,0.9606857672333717,5.3072867,-0.004092383,3.939022658681497
0.067307845,17250,333.68209433555603,1725000,37.22,0.123356,69,5517,0.010164259,0.10088208,0.9622821249067783,5.289662,-0.0038547367,3.4494499669969083
0.06316771,17500,338.48752880096436,1750000,37.18,0.161136,70,5618,0.013426021,0.10059549,0.9631582759320736,5.267382,-0.0018498875,3.4916923602856698
0.066570364,17750,343.19183111190796,1775000,38.84,0.154184,71,5737,0.0131615875,0.10265139,0.9630241692066193,5.2513456,-0.0041794553,3.726986416997388
0.06810171,18000,347.7991096973419,1800000,36.36,0.123244,72,5616,0.009532165,0.10149083,0.9629014655947685,5.2323527,-0.0063229874,3.606668639034033
0.06625992,18250,352.50448632240295,1825000,37.23,0.13800399,73,5701,0.011085304,0.10195625,0.9635436199605465,5.2085433,-0.0047734063,3.6212772991135718
0.060542364,18500,357.143390417099,1850000,39.79,0.214656,74,5744,0.019869445,0.103634015,0.968278780579567,5.19871,0.00078546023,3.9354530831798913
0.063104376,18750,361.7394139766693,1875000,39.19,0.17887999,75,5843,0.017563015,0.10417958,0.9663355872035027,5.1931143,-0.002836496,3.7528927207924427
0.067505755,19000,366.27233695983887,1900000,35.33,0.15444,76,5751,0.012821635,0.10517822,0.9642317034304142,5.1837497,-0.0027494621,3.474970558863133
0.0684968,19250,370.8787338733673,1925000,42.54,0.126448,77,5714,0.009822338,0.10682814,0.9675319008529186,5.1704035,-0.0030760106,4.27878469567746
0.07325461,19500,375.51484298706055,1950000,36.89,0.137856,78,5605,0.010493698,0.10709093,0.9609361998736858,5.1526995,-0.003920012,3.6523441995121537
0.07078503,19750,380.23719453811646,1975000,39.8,0.11291601,79,5763,0.008782455,0.10594079,0.9613399170339108,5.1354175,-0.004764336,3.902865728745237
0.06161967,20000,384.8301603794098,2000000,36.62,0.13885601,80,5354,0.011131905,0.107971855,0.9679971113801003,5.1201057,-0.004871133,3.6619042072817685
0.066180624,20250,389.74324893951416,2025000,37.21,0.13652399,81,5587,0.010696645,0.108836345,0.9677097834646702,5.107596,-0.0060194777,3.7230150640010833
0.06302108,20500,394.4844799041748,2050000,40.0,0.16444,82,5504,0.016988853,0.110008985,0.9708338472992182,5.098039,-0.0026295364,3.9993885295838116
0.0634849,20750,399.30430459976196,2075000,36.61,0.11976399,83,5438,0.009467481,0.11062266,0.968761783093214,5.0816336,-0.005740451,3.8076267557218673
0.056562684,21000,404.16350412368774,2100000,36.22,0.111596,84,5632,0.008609278,0.111622386,0.9742210321128368,5.055768,-0.004344248,3.672131743878126
0.05867044,21250,408.85372138023376,2125000,38.66,0.128348,85,5476,0.010474407,0.11305954,0.9737786632031202,5.0394907,-0.0049950406,4.0340695491433145
0.05199787,21500,413.6859669685364,2150000,42.53,0.10008,86,5657,0.007984903,0.11419743,0.9767699185758829,5.022975,-0.006642204,4.61180366832763
0.059690267,21750,418.35576486587524,2175000,37.41,0.15843199,87,5722,0.014310954,0.11480002,0.9762116577476263,4.9977584,-0.0037544712,3.9753812912479045
0.05307121,22000,423.0005912780762,2200000,43.08,0.123264,88,5603,0.010084598,0.11289201,0.9770516529679298,4.9820046,-0.0058362163,4.578338944911957
0.0571346,22250,427.71921706199646,2225000,39.53,0.111256,89,5635,0.008855148,0.113838665,0.9761986956000328,4.9669523,-0.0062630726,4.139600758496672
0.04886563,22500,432.4138505458832,2250000,41.37,0.140112,90,5718,0.011665209,0.11506613,0.9797206707298756,4.9536753,-0.004147749,4.456116367131472
0.057906937,22750,437.05706691741943,2275000,38.97,0.134776,91,5704,0.010517028,0.11537549,0.9757283385843039,4.937297,-0.006574384,3.959409439153969
0.057961337,23000,441.71511244773865,2300000,38.58,0.121224,92,5884,0.009587183,0.11441992,0.97817412763834,4.920794,-0.005779735,4.054910519868136
0.070512,23250,446.21368312835693,2325000,39.57,0.11480401,93,5520,0.00855699,0.11693457,0.9712238311767578,4.908538,-0.00679427,4.323044999130071
0.066007555,23500,451.008287191391,2350000,38.99,0.11213199,94,5548,0.008651702,0.11680843,0.9728354122489691,4.8875766,-0.006886964,4.252626110799611
