n_updates,fps,policy_loss,approxkl,value_loss,policy_entropy,true_reward,total_timesteps,ep_len_mean,clipfrac,serial_timesteps,time_elapsed,ep_reward_mean,explained_variance
82,208415,-0.0030287306,0.0039410954,0.015887627,5.199095,0.01916807,2050000,27.93,0.037600003,20500,27.08555006980896,1.286192987345362,0.9820283818989992
83,224668,-0.003217085,0.0038702101,0.014769795,5.1927795,0.022082828,2075000,30.23,0.038024,20750,27.444041967391968,1.2516235455458082,0.9828893840312958
84,215187,-0.003076994,0.003774507,0.015201867,5.187001,0.017162684,2100000,28.56,0.036772,21000,27.77764630317688,1.1846954663864926,0.9836536459624767
85,227126,-0.0030805974,0.0035527707,0.01357613,5.178693,0.020379065,2125000,30.66,0.03668,21250,28.12058687210083,1.4201372559490302,0.985263585112989
86,230949,-0.0027771462,0.0036575147,0.014967123,5.1696267,0.016385876,2150000,27.25,0.037019998,21500,28.455789804458618,1.0528501658713685,0.9834073893725872
87,218121,-0.0030833725,0.0040424927,0.015914269,5.159882,0.0179004,2175000,25.56,0.042488,21750,28.78570556640625,1.1993134179285698,0.9829782471060753
88,228218,-0.0029184108,0.0039530033,0.01432774,5.14993,0.018549692,2200000,28.74,0.039592,22000,29.126008987426758,1.36839845261944,0.9847084730863571
89,228701,-0.0030247166,0.0036980244,0.013505204,5.139985,0.0185141,2225000,28.49,0.035848,22250,29.45715641975403,1.0415903047628807,0.9848703118041158
90,231076,-0.0029989325,0.004063905,0.0138833765,5.131707,0.020788267,2250000,26.21,0.040588,22500,29.79170322418213,1.224732625646502,0.9854438463225961
91,225701,-0.002863969,0.0040770164,0.01429867,5.1249027,0.017552564,2275000,29.32,0.041883998,22750,30.12478256225586,1.2355414159217617,0.9854203807190061
92,219233,-0.0027314457,0.0038153857,0.01566218,5.115381,0.017725838,2300000,26.2,0.036604,23000,30.461265087127686,1.23643143515088,0.9839740879833698
93,238096,-0.0031606145,0.003207563,0.015126586,5.1056547,0.018604795,2325000,29.51,0.029288,23250,30.79312753677368,1.1961298593798346,0.9839183371514082
94,235238,-0.0032019266,0.0038007218,0.01445574,5.09742,0.020739704,2350000,28.41,0.040352,23500,31.115309715270996,1.3065501311551089,0.9842701889574528
95,248561,-0.0030393023,0.0035998647,0.016697228,5.090945,0.019740723,2375000,24.4,0.035184003,23750,31.43822956085205,1.2238798262855015,0.9830415695905685
96,241578,-0.002750537,0.00305164,0.013691085,5.0836997,0.024130119,2400000,27.6,0.024596002,24000,31.75505018234253,1.2496115269785515,0.984820787794888
97,236099,-0.0029895739,0.003982655,0.013525854,5.078607,0.020283416,2425000,29.79,0.04002,24250,32.0760178565979,1.4747843580662583,0.9860808597877622
98,234114,-0.0029076976,0.004016679,0.013367856,5.0735407,0.015439608,2450000,28.58,0.04128,24500,32.39935493469238,1.1872557736484304,0.9859177181497216
99,241903,-0.002283542,0.004187803,0.013700773,5.0689216,0.02062109,2475000,28.93,0.044899996,24750,32.72128701210022,1.2656020737586515,0.9853204358369112
100,230149,-0.0020789604,0.0037256223,0.01256528,5.062188,0.021486059,2500000,30.12,0.037156,25000,33.041614055633545,1.287103864087112,0.9869608394801617
101,228705,-0.0029673208,0.0039503616,0.012770154,5.0558825,0.020570522,2525000,28.78,0.038828,25250,33.37995743751526,1.2615461048788712,0.9873128663748503
