serial_timesteps,true_reward,total_timesteps,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,approxkl,value_loss,clipfrac,n_updates,policy_loss,fps,ep_len_mean
13000,-0.6046125,1300000,51.516987800598145,5.503388,-16.324952466172398,0.617004930973053,0.008271874,15.279009,0.080496,52,0.00026669106,33515,33.05
13250,-0.5667865,1325000,52.81539821624756,5.4926147,-13.031861956142675,0.610290139913559,0.009545183,15.475439,0.102792,53,0.0021377017,49120,33.46
13500,-0.58547956,1350000,53.71613788604736,5.4837093,-17.198400108031056,0.6212834119796753,0.011562848,14.1736355,0.118532,54,0.0032371208,54301,34.83
13750,-0.58641994,1375000,54.652135372161865,5.4851356,-13.868116083977657,0.6480999290943146,0.03449259,14.789421,0.22092001,55,0.01920646,63342,29.41
14000,-0.5888336,1400000,55.44007325172424,5.484203,-12.687198028200074,0.6655484139919281,0.010594131,14.257411,0.117928006,56,0.00042468216,51283,29.94
14250,-0.55016965,1425000,56.344571590423584,5.473861,-15.52861030099244,0.6879370212554932,0.008940399,13.501646,0.110624,57,-0.0010752068,64227,32.45
14500,-0.52012813,1450000,57.1257803440094,5.4590755,-13.323068240596694,0.7083830237388611,0.007958935,12.543369,0.09082,58,-0.00044204615,52562,34.0
14750,-0.4920305,1475000,58.042678356170654,5.44148,-12.307898333296471,0.7285028100013733,0.0053538163,11.725837,0.06336,59,-0.0025616563,59557,30.93
15000,-0.46786612,1500000,58.87190389633179,5.416377,-11.303275931818861,0.7626927644014359,0.0050457767,11.037635,0.054584004,60,-0.0020266026,59952,32.54
15250,-0.50226825,1525000,59.74488115310669,5.395011,-12.336797015112607,0.7491815686225891,0.01057951,11.32802,0.10320401,61,0.0019437347,83943,32.16
15500,-0.46673942,1550000,60.510353565216064,5.3792496,-13.322357217443932,0.7590584009885788,0.0066444427,11.450398,0.075091995,62,-0.0017555312,58661,36.36
15750,-0.4423367,1575000,61.348108530044556,5.3726454,-10.24262065693998,0.7512207478284836,0.0055231927,10.896113,0.066456,63,-0.0025085616,48772,35.67
16000,-0.46552503,1600000,62.26015615463257,5.361865,-13.991335776524357,0.758540615439415,0.0037676643,11.205069,0.039975997,64,-0.003618364,67884,36.86
16250,-0.4191022,1625000,63.01043772697449,5.3372955,-8.985994689697181,0.7897446900606155,0.005079693,9.701161,0.062127996,65,-0.0033423745,66143,31.03
16500,-0.38851255,1650000,63.78190755844116,5.3258386,-11.156112341342231,0.7673428654670715,0.0060322504,10.141878,0.076424,66,-0.0037286014,65326,35.84
16750,-0.36660728,1675000,64.59130644798279,5.322871,-7.382045954191853,0.7926088869571686,0.040439043,10.184725,0.195968,67,0.021675069,56117,30.61
17000,-0.356779,1700000,65.43806290626526,5.3174872,-8.401228875786474,0.7707990258932114,0.061582707,9.61201,0.22873601,68,0.025368568,60683,31.75
17250,-0.3575568,1725000,66.30430722236633,5.3161545,-8.806465722635403,0.7828551232814789,0.03077518,8.509695,0.176872,69,0.015151547,61206,34.84
17500,-0.35264274,1750000,67.12326836585999,5.312831,-9.285208590338517,0.8085596412420273,0.005718123,7.5419297,0.069712,70,-0.002476747,59114,35.57
17750,-0.34093997,1775000,67.90549325942993,5.2969675,-9.194047383708313,0.8263009190559387,0.0043385676,7.0014687,0.046331998,71,-0.0021819065,71603,32.55
18000,-0.32352996,1800000,68.61115050315857,5.28307,-7.488844705952797,0.8264400511980057,0.005793071,6.5653563,0.064996,72,-0.0023384667,66578,31.75
18250,-0.3251902,1825000,69.3614456653595,5.264505,-10.580044293293321,0.8323779404163361,0.007001394,6.242151,0.086987995,73,-0.0027108556,59128,35.99
