explained_variance,time_elapsed,ep_len_mean,policy_loss,approxkl,policy_entropy,ep_reward_mean,n_updates,value_loss,serial_timesteps,true_reward,total_timesteps,clipfrac,fps
0.9737396780401468,23.9455783367157,27.28,-0.0027270573,0.003776616,5.3418493,0.8993368278857088,73,0.0214222,18250,0.01238598,1825000,0.037120003,236529
0.9744520708918571,24.267874240875244,27.54,-0.0025513628,0.0027790603,5.3366337,0.8003302797519427,74,0.022370014,18500,0.0076920306,1850000,0.021376,239198
0.9733989648520947,24.58517098426819,26.83,-0.0030313847,0.0033463263,5.330055,0.8547122063014431,75,0.023421213,18750,0.0060967286,1875000,0.030108,228431
0.9762920811772346,24.911890506744385,29.54,-0.002825891,0.003718267,5.3229156,0.9157343651094698,76,0.020273749,19000,0.0069308085,1900000,0.035468,229499
0.976576704531908,25.239882469177246,27.11,-0.0029000784,0.0034490884,5.3176928,0.8521432138312229,77,0.01979198,19250,0.008266271,1925000,0.031704,244312
0.9789531417191029,25.556897401809692,26.29,-0.0023179029,0.0035430156,5.3106,1.2479644282744449,78,0.018011268,19500,0.011451453,1950000,0.031476,241477
0.9781640041619539,25.87750768661499,26.85,-0.0033136427,0.0042073936,5.3017116,1.053814383791614,79,0.019785065,19750,0.010031052,1975000,0.044035997,238399
0.9784281570464373,26.201946020126343,30.8,-0.0031499644,0.004159457,5.295724,1.0125473882663392,80,0.02030282,20000,0.008435619,2000000,0.043028,242543
0.9799862056970596,26.523242235183716,28.25,-0.0025606405,0.0032809942,5.2865977,0.9793513737076137,81,0.017914891,20250,0.011030011,2025000,0.029043999,241030
0.9790877308696508,26.8373920917511,27.09,-0.0028136664,0.0034716923,5.279232,0.9665611603318394,82,0.020216666,20500,0.008681232,2050000,0.032743998,237003
0.9791772719472647,27.160651445388794,27.55,-0.003122819,0.0035307438,5.2735686,1.1588543834892335,83,0.02061738,20750,0.0071746623,2075000,0.034811996,237153
0.9796597138047218,27.478716611862183,28.25,-0.0027258133,0.0037247415,5.2673993,0.9116004051855271,84,0.018834937,21000,0.008105426,2100000,0.03598,244013
0.9799252189695835,27.79668140411377,29.8,-0.003000974,0.0036383239,5.2609744,0.8360138657453353,85,0.01762919,21250,0.011071784,2125000,0.035352,238857
0.9814999401569366,28.119544982910156,28.84,-0.002738779,0.0034148202,5.254109,0.9971920737371147,86,0.017104365,21500,0.011431659,2150000,0.031079998,234634
