ep_reward_mean,policy_loss,value_loss,true_reward,approxkl,explained_variance,total_timesteps,serial_timesteps,ep_len_mean,fps,policy_entropy,n_updates,time_elapsed,clipfrac
-47.40432389087677,-0.00043632035,756.1453,-2.557915,0.0013249994,0.6444645822048187,1225000,12250,32.25,232885,5.7764115,49,18.372700691223145,0.009099999
-43.311127178853205,-0.0008879019,731.9662,-2.5484934,0.0016094279,0.6426462829113007,1250000,12500,30.46,232844,5.7766275,50,18.727763175964355,0.014292
-48.86931533823774,-0.00066676794,784.3127,-2.6633322,0.0010699378,0.6463241577148438,1275000,12750,29.97,237341,5.776843,51,19.086102962493896,0.007832
-35.484838752612994,-0.00057352503,723.60004,-2.594265,0.0010433939,0.6360107660293579,1300000,13000,26.69,226168,5.7770553,52,19.4412841796875,0.0053
-34.099282565943724,-0.00022625772,742.4401,-2.618893,0.0011710438,0.6393484175205231,1325000,13250,25.23,225059,5.776929,53,19.80459189414978,0.008172
-31.122364336414613,-0.0010859849,744.3285,-2.6445627,0.0019737058,0.6409502029418945,1350000,13500,24.77,236933,5.776479,54,20.15978741645813,0.018323999
-30.140275031881757,-0.0001316596,716.23987,-2.5880563,0.0008970689,0.6340515315532684,1375000,13750,23.41,232481,5.7759976,55,20.517656326293945,0.004224
-36.59191785600385,-0.0006225053,740.7783,-2.638666,0.0018157639,0.6441946923732758,1400000,14000,28.52,229421,5.775663,56,20.883602380752563,0.017716
-44.61602074704861,-0.00049837335,673.44257,-2.5184846,0.0020793716,0.6449603736400604,1425000,14250,33.79,230827,5.7754307,57,21.246878623962402,0.017988
-40.495013930499994,-0.00021762561,755.8821,-2.6625044,0.0022332422,0.6316041052341461,1450000,14500,30.57,237223,5.7750216,58,21.605571746826172,0.022436
-36.23463010912877,-0.00066864555,709.4437,-2.6080034,0.0016178939,0.6433172821998596,1475000,14750,25.79,225958,5.7747383,59,21.956746578216553,0.014284
-36.236405536488746,-0.00032991063,676.66785,-2.5468798,0.001630702,0.6462421119213104,1500000,15000,27.61,222872,5.7743893,60,22.32825756072998,0.011496001
-39.52806050249114,-0.0001579712,658.09534,-2.4987123,0.0013470636,0.6423157751560211,1525000,15250,30.78,222353,5.7736807,61,22.68746519088745,0.009072
-49.462817104984566,-0.00087531155,642.4993,-2.500804,0.001314909,0.6481122672557831,1550000,15500,31.74,219353,5.773402,62,23.041802644729614,0.008024001
-35.00876102031092,-0.00020515759,594.0365,-2.4323525,0.0018006727,0.6512524783611298,1575000,15750,29.23,234835,5.7734065,63,23.398675680160522,0.019244
-43.28256725282774,-0.00059179135,597.50714,-2.4418528,0.00165725,0.6590442061424255,1600000,16000,32.47,246604,5.7728186,64,23.757190465927124,0.013032
-40.72699374815944,-0.0004415296,581.7664,-2.4238892,0.0027930192,0.6630589663982391,1625000,16250,31.02,232463,5.7717485,65,24.10361647605896,0.031952
-34.759195011694686,-0.00019987187,553.1838,-2.417007,0.0016449075,0.6670438945293427,1650000,16500,28.72,240856,5.7713327,66,24.467538833618164,0.013068
-40.10707879090216,-0.00019299376,541.0729,-2.3999493,0.0007693458,0.6643109023571014,1675000,16750,29.88,236511,5.7712455,67,24.81679630279541,0.0024520003
-42.243186342985354,-0.00062409,516.81805,-2.337058,0.0028339033,0.6744126975536346,1700000,17000,34.18,238751,5.770989,68,25.169153928756714,0.032112
-37.133611053045605,3.825291e-06,495.653,-2.3361378,0.003605611,0.6718889772891998,1725000,17250,29.21,234416,5.770875,69,25.517002820968628,0.044304002
-36.90857681134419,-0.00037619367,477.5843,-2.284077,0.0012292688,0.678813099861145,1750000,17500,33.4,241673,5.7705774,70,25.87123465538025,0.00866
-33.89254522155417,-0.00089799846,447.96225,-2.2461553,0.0015133412,0.6880136728286743,1775000,17750,28.74,229620,5.7703896,71,26.214690685272217,0.012068001
-29.74277672600525,-0.0011661213,433.06534,-2.25278,0.0017251521,0.6784131824970245,1800000,18000,26.5,233532,5.7702394,72,26.572423934936523,0.015024001
-33.653795325295576,-0.0003686292,455.64606,-2.2940192,0.0010335518,0.6660876274108887,1825000,18250,29.52,223753,5.770127,73,26.929264307022095,0.007868
-35.346172753112334,-0.00075854326,416.13824,-2.206603,0.0011124548,0.6767066121101379,1850000,18500,28.32,246847,5.769946,74,27.28367567062378,0.0071400004
-43.91452858303784,-0.0009946928,418.4148,-2.1826334,0.0017000318,0.6798279881477356,1875000,18750,36.95,229071,5.769508,75,27.628710985183716,0.012504001
-52.28264067085278,-0.00068146724,400.8687,-2.132228,0.0014003156,0.6901623606681824,1900000,19000,42.85,246161,5.7690835,76,27.976726531982422,0.008856
-42.8078026416112,-0.0005572524,401.11697,-2.189196,0.0015145041,0.670468807220459,1925000,19250,32.75,227361,5.7685757,77,28.315192699432373,0.01144
-29.01196291834698,-0.00051150104,393.72275,-2.167695,0.0013281576,0.6884118616580963,1950000,19500,27.4,225163,5.7681417,78,28.675634145736694,0.00966
-32.324344414771055,-0.00027675583,405.6233,-2.2548618,0.0011848279,0.6449054777622223,1975000,19750,27.8,234288,5.767903,79,29.041343927383423,0.008388
-40.058402151801566,-0.0006343819,385.69012,-2.1348996,0.0010960845,0.6798661053180695,2000000,20000,36.27,230592,5.7675943,80,29.398239135742188,0.008204
-37.628693316065984,-0.0009130955,410.50082,-2.2485256,0.0018390659,0.6612445116043091,2025000,20250,30.46,238243,5.76723,81,29.762516975402832,0.018384
-32.3980955673827,-0.00059521134,349.6337,-2.115422,0.0015604974,0.7067970037460327,2050000,20500,32.87,246778,5.7669253,82,30.110264539718628,0.015128
-42.36556313538162,-0.00075076066,340.70468,-2.1220872,0.0015346342,0.6928082406520844,2075000,20750,34.28,246045,5.7667828,83,30.45718812942505,0.013336
-48.29400274810112,-0.00068336166,363.3721,-2.0887277,0.0014448698,0.6816756129264832,2100000,21000,42.84,240247,5.7667165,84,30.80306363105774,0.009951999
-31.709333939873904,-0.00097569666,288.87125,-2.0166113,0.0013643437,0.6942928433418274,2125000,21250,32.5,234197,5.7665877,85,31.143046140670776,0.010027999
-30.6281933324656,-0.00045831193,319.63135,-2.071362,0.0007133189,0.6919578015804291,2150000,21500,28.89,239964,5.7664785,86,31.48587203025818,0.004792
-31.274242034592024,-0.00063243497,320.01675,-2.06324,0.0010375619,0.6870986819267273,2175000,21750,31.68,238134,5.766603,87,31.828192472457886,0.0062359995
-44.421879441223865,-0.0008303475,303.8504,-2.0031636,0.0012826408,0.6947039365768433,2200000,22000,38.36,243242,5.7667704,88,32.16978192329407,0.010196
-37.222401655409485,-0.00061038294,336.49585,-2.1097102,0.0018182022,0.6767988502979279,2225000,22250,34.61,231232,5.766614,89,32.505298376083374,0.017699998
