time_elapsed,clipfrac,policy_loss,n_updates,ep_len_mean,value_loss,approxkl,explained_variance,policy_entropy,serial_timesteps,true_reward,ep_reward_mean,total_timesteps,fps
21.2464337348938,0.033892,-0.0012686335,63,47.71,11.072768,0.003517306,0.8918857127428055,5.7455935,15750,-0.5308146,-0.8162925729377821,1575000,192000
21.57506823539734,0.026908,-0.00080576417,64,47.26,11.77366,0.002964311,0.8762335181236267,5.743105,16000,-0.52636486,-0.7533080430908285,1600000,192297
21.91551446914673,0.035448,-0.0027133862,65,42.35,9.254637,0.0033606098,0.9117780104279518,5.740826,16250,-0.5596286,-0.5787086044044486,1625000,196840
22.252410411834717,0.030151999,-0.002713243,66,45.2,9.2336,0.0029841005,0.9092123880982399,5.738618,16500,-0.53923637,-0.22217055385702225,1650000,199284
22.577873945236206,0.023764,-0.001985569,67,47.42,8.66186,0.0026329986,0.914813406765461,5.736876,16750,-0.5317933,-0.4229506780714219,1675000,194231
22.910372257232666,0.019824,-0.0020061824,68,47.65,9.490347,0.0024098102,0.9029711931943893,5.7380285,17000,-0.5270656,-0.6724537389420584,1700000,205275
23.240067958831787,0.028848002,-0.002490412,69,40.46,8.209101,0.0029107889,0.9185628518462181,5.7372437,17250,-0.55335814,-0.14167036685714265,1725000,197487
23.572506427764893,0.019008,-0.0019906454,70,43.76,8.708379,0.0022173591,0.9108196943998337,5.7328706,17500,-0.539478,-0.20165951882700028,1750000,198704
23.90823268890381,0.031239998,-0.0025561485,71,39.05,7.945638,0.0031156968,0.916050873696804,5.7287803,17750,-0.56248087,-0.1422601415582176,1775000,204187
24.24731421470642,0.030412,-0.0025186343,72,41.76,6.923135,0.003066462,0.9325619861483574,5.722764,18000,-0.55315536,-0.15847806463712913,1800000,199713
24.573664665222168,0.030488,-0.0023269255,73,39.05,6.808505,0.0030891327,0.9354590848088264,5.7203207,18250,-0.5583211,-0.34476091486296356,1825000,195036
24.907037258148193,0.066932,-0.00081508345,74,47.59,10.38466,0.0059122625,0.8804074004292488,5.722953,18500,-0.5181531,-0.6117758767341366,1850000,201075
25.237359285354614,0.062084,0.0004901466,75,37.72,7.9161224,0.0053494484,0.9132633432745934,5.720676,18750,-0.55298245,0.16918698661109374,1875000,185758
25.57833480834961,0.027276,-0.0019044429,76,43.94,10.0335865,0.0028600902,0.8834378942847252,5.7157617,19000,-0.5125912,-0.20755469559989478,1900000,194651
25.90703010559082,0.02714,-0.0018075884,77,43.63,6.4232874,0.002938896,0.929060660302639,5.711991,19250,-0.53865,-0.21569976375420083,1925000,200715
26.23188829421997,0.011692,-0.0010931182,78,45.19,9.621508,0.002017118,0.8889288082718849,5.7093916,19500,-0.52095336,-0.5172821926508914,1950000,191805
26.566393852233887,0.03148,-0.002220544,79,48.06,9.99267,0.0030541364,0.8828965798020363,5.705088,19750,-0.5089369,-0.27344705118282264,1975000,200532
26.898219108581543,0.0171,-0.0012064263,80,45.49,7.833083,0.0024463616,0.9103693142533302,5.703259,20000,-0.52165586,-0.14045825751239135,2000000,205224
27.219852447509766,0.02358,-0.0014010674,81,39.85,12.146431,0.0027291544,0.8647095412015915,5.6991234,20250,-0.5258979,-0.17995705896602884,2025000,184290
27.556079626083374,0.029435998,-0.002631778,82,45.51,10.038029,0.0030405542,0.8690354824066162,5.6934953,20500,-0.52407724,-0.15913436698865552,2050000,205191
