value_loss,approxkl,fps,serial_timesteps,total_timesteps,explained_variance,clipfrac,policy_entropy,n_updates,true_reward,ep_len_mean,policy_loss,time_elapsed,ep_reward_mean
2.0228133,0.008346531,64660,12750,1275000,0.941933486610651,0.08691599,5.791278,51,0.051310044,32.31,0.0037401975,40.97948479652405,8.575645659565925
2.3241627,0.006023553,92638,13000,1300000,0.9341996759176254,0.07220401,5.794872,52,0.048516788,36.81,-1.4590844e-05,41.757248878479004,8.14347445935011
1.9815512,0.0049506202,54956,13250,1325000,0.9429357312619686,0.056224,5.7979326,53,0.0509997,36.15,-7.419013e-05,42.3797869682312,8.913784683346748
1.749622,0.005627294,69176,13500,1350000,0.949061930179596,0.063488,5.7965198,54,0.05194571,31.62,0.00045963842,43.26572012901306,8.347123399078846
2.163636,0.015091474,42569,13750,1375000,0.9371639415621758,0.132592,5.7922964,55,0.053066056,34.08,0.0119223865,44.05390763282776,8.374496932625771
1.8316101,0.012941507,50645,14000,1400000,0.9458254985511303,0.116243996,5.793068,56,0.052115332,34.88,0.008455679,45.12286043167114,8.758878091275692
1.6584034,0.008642832,37243,14250,1425000,0.9502482749521732,0.101328,5.7944574,57,0.049493525,39.37,0.0025760978,46.157235860824585,8.814503906667232
1.8240263,0.0053146533,91848,14500,1450000,0.9463748708367348,0.062111996,5.7926917,58,0.04993558,37.69,-0.00095790887,47.235318183898926,8.421353189647197
1.7600749,0.008801328,63526,14750,1475000,0.94833018258214,0.102872,5.791375,59,0.04910081,33.76,0.0018681738,47.849172592163086,8.76833088517189
1.9478347,0.0055293934,72961,15000,1500000,0.9431053884327412,0.066208,5.790051,60,0.055727948,37.0,-0.0005216181,48.64221739768982,9.126031667292118
1.8868812,0.0068308907,64113,15250,1525000,0.9437304064631462,0.08326399,5.788302,61,0.052273247,29.53,-0.0012941826,49.357240438461304,8.094983868002892
1.67519,0.0057316525,53381,15500,1550000,0.9487667977809906,0.06932001,5.78213,62,0.04842924,34.19,-0.0006169606,50.1506986618042,8.546397378146649
1.9772246,0.004721044,57719,15750,1575000,0.9412318989634514,0.05406,5.77794,63,0.057717945,37.94,-0.0024880955,51.011666774749756,9.150762652158738
1.8777854,0.0053593186,68894,16000,1600000,0.9447209052741528,0.06318001,5.7770915,64,0.056267545,39.75,-0.0015555461,51.88592195510864,9.512818430066108
2.0320044,0.0048846616,58694,16250,1625000,0.9390889033675194,0.055372,5.775947,65,0.056503296,32.08,-0.002752168,52.67432618141174,8.884576069116592
1.8199749,0.0058917943,78745,16500,1650000,0.9474848993122578,0.07349999,5.7756886,66,0.056670744,43.58,-0.0035098605,53.50723671913147,10.419450894892215
1.8532495,0.0076113,70579,16750,1675000,0.9452072829008102,0.086808,5.7749305,67,0.056125052,38.21,-0.00016409438,54.218284368515015,9.807508507072926
1.8272502,0.005654034,82669,17000,1700000,0.9461570791900158,0.067636,5.7703767,68,0.049472056,31.22,-0.002741206,54.98383355140686,8.782924374341965
1.6197075,0.015146096,58897,17250,1725000,0.9521797895431519,0.148124,5.76399,69,0.055884298,43.3,0.0042701815,55.690014123916626,9.439624947905541
1.8321139,0.01034857,76024,17500,1750000,0.9454843625426292,0.11043999,5.766088,70,0.053541593,37.01,0.0025290488,56.52194595336914,9.262064327001571
1.700895,0.008697133,62341,17750,1775000,0.9496240615844727,0.1013,5.7643213,71,0.056500424,34.06,0.0003735298,57.21845626831055,9.050196312069893
1.7618968,0.00721684,72553,18000,1800000,0.9511389695107937,0.084979996,5.765087,72,0.046618886,40.78,-0.00095226883,57.99221181869507,8.586190926432609
2.2758555,0.011319919,72351,18250,1825000,0.9354154467582703,0.12015201,5.766422,73,0.055710167,42.46,0.0022228735,58.75490069389343,9.43047801733017
2.5445797,0.0065532746,58894,18500,1850000,0.9302727654576302,0.076808,5.7646146,74,0.059949797,35.91,-0.0009833055,59.49796414375305,9.615954955518246
1.9400944,0.0058157244,71031,18750,1875000,0.944396760314703,0.066692,5.759951,75,0.049103647,28.78,-0.0021840178,60.37341094017029,8.522173257172108
1.9099432,0.0040175216,81584,19000,1900000,0.9456805922091007,0.043427996,5.7552443,76,0.049642347,38.36,-0.0023341912,61.16681098937988,8.843476794362068
2.0375962,0.0058867605,61711,19250,1925000,0.9418314769864082,0.067067996,5.750443,77,0.052848585,35.73,-0.00044825082,61.82627081871033,9.103616063594819
2.103887,0.004467561,61936,19500,1950000,0.939670879393816,0.049644,5.7443466,78,0.05606898,35.39,-0.00237334,62.5932343006134,9.09348267763853
2.259478,0.0061507914,26668,19750,1975000,0.9355153664946556,0.070296004,5.741628,79,0.054626748,32.64,-0.0011247629,63.52243995666504,8.261878343820571
2.4966884,0.010303801,32504,20000,2000000,0.9317281693220139,0.10170399,5.7423677,80,0.055925336,40.09,0.0045812954,64.88125967979431,10.076768873333931
2.5352116,0.0053505134,48020,20250,2025000,0.9307354986667633,0.063772,5.741782,81,0.052526694,36.93,-0.0021732121,66.22704434394836,9.653464601933957
2.0619228,0.0045062816,56629,20500,2050000,0.9401285089552402,0.049716,5.7393236,82,0.051697675,32.28,-0.0028764724,67.243577003479,7.972931968569756
2.462091,0.006914334,74242,20750,2075000,0.9307931885123253,0.079484,5.7314262,83,0.056600116,32.61,0.0005351345,68.08977484703064,9.385301550924778
2.3426216,0.0067812973,76087,21000,2100000,0.9340828880667686,0.078388,5.7283525,84,0.052367657,34.6,0.00015931483,68.7957854270935,9.104351686239243
2.4492245,0.005214227,100516,21250,2125000,0.9343287944793701,0.058080006,5.727202,85,0.046208512,29.96,-0.0010150332,69.49528861045837,8.29972460001707
2.6001735,0.007273258,68970,21500,2150000,0.928888350725174,0.08649601,5.723201,86,0.05158817,38.8,-0.0011113568,70.12623524665833,10.341993916332722
2.6164272,0.007354687,75103,21750,2175000,0.9267210140824318,0.085035995,5.7185087,87,0.05304086,29.77,0.00037418556,70.8665144443512,8.272350105941296
2.717391,0.0035733208,60169,22000,2200000,0.9255825579166412,0.03658,5.716598,88,0.053968597,41.07,-0.0029511862,71.59119296073914,9.406150523424149
2.606261,0.003518731,68736,22250,2225000,0.9292118474841118,0.035839997,5.7142324,89,0.05160379,34.17,-0.0026174574,72.37601733207703,8.742237653434277
2.6540477,0.0058181793,73757,22500,2250000,0.9258389100432396,0.069108,5.709029,90,0.05304543,39.1,-0.0013701932,73.12538981437683,9.730485350191593
2.203183,0.003921856,64357,22750,2275000,0.9375933147966862,0.04354,5.700071,91,0.050949004,40.27,-0.0024988358,73.87990856170654,9.860027285218239
3.036321,0.003629015,68458,23000,2300000,0.9199517145752907,0.038584,5.694068,92,0.059129447,38.51,-0.0024909782,74.65678191184998,9.071830135583877
2.168367,0.0044309483,60932,23250,2325000,0.9394424296915531,0.050003998,5.690072,93,0.050746754,35.54,-0.0030765005,75.4204466342926,9.158751049339772
2.1751647,0.005590291,92654,23500,2350000,0.9402255974709988,0.065924,5.686563,94,0.051132645,41.3,-0.0031155944,76.20360326766968,9.921657027304173
2.7475352,0.003957543,82052,23750,2375000,0.927977666258812,0.041831996,5.680681,95,0.050282262,38.48,-0.0031663124,76.90168738365173,8.724162372648715
2.5699387,0.0043514417,66527,24000,2400000,0.9285616651177406,0.048464,5.6768847,96,0.055262443,37.61,-0.0031255565,77.59864211082458,9.43788827687502
3.1521068,0.004587976,68874,24250,2425000,0.9144329056143761,0.051092,5.6740084,97,0.057238277,36.92,-0.001914528,78.37545609474182,9.785685846805572
3.4463723,0.0042153103,61475,24500,2450000,0.9126995801925659,0.045924,5.673988,98,0.054256454,40.81,-0.0026682126,79.11938166618347,9.26261923700571
2.553555,0.0046581645,101533,24750,2475000,0.9299765899777412,0.053175997,5.6770763,99,0.04929778,38.02,-0.0032636821,79.90083980560303,9.765872285068035
2.720902,0.003658662,57827,25000,2500000,0.9281637147068977,0.038620003,5.6739397,100,0.046877734,44.48,-0.00280171,80.56001400947571,9.12495823353529
2.7872765,0.0037422725,85369,25250,2525000,0.9299473017454147,0.039635997,5.670323,101,0.04318266,37.72,-0.0036458862,81.40765476226807,7.691430251300335
2.578605,0.0035656325,89611,25500,2550000,0.9289899915456772,0.035828,5.6687965,102,0.049287852,39.91,-0.003420502,82.05180430412292,9.104457545876503
2.9735413,0.004922875,87579,25750,2575000,0.9310861080884933,0.054736,5.665516,103,0.046396192,46.77,-0.0018307213,82.70005917549133,8.302822733521461
3.1702518,0.0058096857,48935,26000,2600000,0.9244074821472168,0.066588,5.6603613,104,0.04953203,47.01,-0.001109827,83.4360294342041,7.52835780158639
3.0063634,0.003610827,51141,26250,2625000,0.9215536862611771,0.03638,5.6571603,105,0.0513195,45.98,-0.0032681182,84.39579725265503,9.894916038811207
2.5269647,0.0031234052,29232,26500,2650000,0.929203450679779,0.029896,5.6507177,106,0.058275644,43.0,-0.0034102588,85.33394956588745,10.064050784111023
3.0878012,0.004163246,64009,26750,2675000,0.9181488677859306,0.045332003,5.641833,107,0.04627743,39.49,-0.003532787,86.78564095497131,8.878274939060212
2.7276762,0.0043535107,72779,27000,2700000,0.9273590818047523,0.048016,5.636425,108,0.045834374,44.18,-0.004082835,87.58813643455505,8.594209704995155
2.2265325,0.0037634808,71243,27250,2725000,0.9397415407001972,0.038684003,5.6345215,109,0.044474166,44.65,-0.0034924368,88.32165884971619,8.569094137251376
2.2218318,0.003979815,72525,27500,2750000,0.9388387203216553,0.042088002,5.6307545,110,0.046305507,47.75,-0.0036950442,89.05568861961365,9.241678336262703
2.590109,0.0034375098,66528,27750,2775000,0.9336659163236618,0.035672,5.625441,111,0.035772394,50.01,-0.0039201165,89.78849291801453,7.471642481684685
2.3129706,0.0046459087,78083,28000,2800000,0.9391491189599037,0.050852,5.621864,112,0.04595745,48.17,-0.003811919,90.56861901283264,8.817794592678547
2.6900558,0.0042017363,90833,28250,2825000,0.9282802790403366,0.04428,5.6154604,113,0.050300952,50.94,-0.0029314396,91.25235891342163,9.466689988970757
2.2409127,0.0044208025,57843,28500,2850000,0.9426903054118156,0.047784,5.60588,114,0.043351818,47.23,-0.004395661,91.94939255714417,8.651250867843627
2.8075082,0.004211664,68940,28750,2875000,0.923051506280899,0.04532,5.59977,115,0.04453704,53.39,-0.0034454695,92.79515075683594,10.360533598065377
2.4739795,0.0040328773,78665,29000,2900000,0.9357972666621208,0.042039998,5.5861716,116,0.04141636,53.54,-0.0029146408,93.56166672706604,8.563260706663131
2.3976035,0.0046054143,99353,29250,2925000,0.934366837143898,0.05200801,5.5756106,117,0.045806717,40.94,-0.0030655751,94.26009702682495,7.765190390795469
2.2853494,0.0035751374,77547,29500,2950000,0.9380083717405796,0.036436,5.5673385,118,0.043005265,50.58,-0.003399354,94.88843512535095,8.841331797242164
2.1778646,0.0046354155,90135,29750,2975000,0.9414879120886326,0.051879995,5.555534,119,0.039958484,48.83,-0.00344433,95.58666396141052,7.1315540879964825
2.5701823,0.0041127414,67337,30000,3000000,0.9314296916127205,0.043908,5.5433555,120,0.042734616,51.48,-0.0030776584,96.24437308311462,9.726675247251988
2.2865818,0.0035656276,62145,30250,3025000,0.9347985982894897,0.037736002,5.533074,121,0.03651997,43.0,-0.0039523975,96.98107695579529,6.354370682835579
2.415811,0.0036513298,62648,30500,3050000,0.9346750229597092,0.037572,5.5241456,122,0.033976458,58.15,-0.0033726864,97.77850675582886,5.886179064959288
2.5766077,0.0052303695,69619,30750,3075000,0.9304870739579201,0.061564,5.518344,123,0.049257662,54.23,-0.0029685935,98.59300184249878,10.16939543634653
2.5968108,0.005418018,81647,31000,3100000,0.9260896667838097,0.059884,5.514792,124,0.051298637,48.59,-0.0035144375,99.34746265411377,9.892065385729074
1.9052458,0.0039119674,72880,31250,3125000,0.9445221573114395,0.041075997,5.5078754,125,0.04903801,50.59,-0.0031354814,100.04854369163513,9.744827308654784
2.2465081,0.004872154,47793,31500,3150000,0.9350200295448303,0.054812003,5.5011077,126,0.04587473,43.06,-0.002837899,100.77570176124573,9.487396889925003
2.4282956,0.004332545,93422,31750,3175000,0.9320753589272499,0.047536004,5.49533,127,0.038081907,53.85,-0.0041079624,101.6849217414856,8.064463762491942
2.2338834,0.00543286,81688,32000,3200000,0.9388283304870129,0.062168002,5.4900713,128,0.0377458,50.68,-0.0029941886,102.30187606811523,9.221445842981339
2.253347,0.0046429643,61997,32250,3225000,0.9341863244771957,0.052411996,5.485407,129,0.044346206,47.44,-0.0039850883,102.9755392074585,9.265211662650108
2.1001441,0.0045454134,50159,32500,3250000,0.9397321790456772,0.049028,5.4797754,130,0.03911957,50.72,-0.0037131037,103.85774326324463,9.18752495765686
2.473497,0.004917121,40303,32750,3275000,0.9334879070520401,0.052296,5.474838,131,0.026398655,58.4,-0.0032980156,104.75990390777588,7.397260714322329
2.3848076,0.0052142134,51020,33000,3300000,0.9358050525188446,0.0577,5.470359,132,0.038686976,46.72,-0.0036296963,105.91133332252502,9.83292367875576
2.2569423,0.00451263,46412,33250,3325000,0.9410591498017311,0.0446,5.4681835,133,0.037233084,54.21,-0.0022371984,106.91729402542114,8.773233785778284
2.7084098,0.0053072213,59808,33500,3350000,0.927372083067894,0.063200004,5.468083,134,0.04900446,49.9,-0.0036461414,107.82655096054077,8.595575260221958
2.342315,0.0046950364,71360,33750,3375000,0.9377187341451645,0.053843997,5.4672976,135,0.041006234,55.03,-0.0027818594,108.61179280281067,10.13774943768978
2.1237934,0.00590253,53056,34000,3400000,0.9430091492831707,0.070876,5.469477,136,0.043165255,43.97,-0.0034205653,109.36577558517456,8.888710361123085
2.4184663,0.004278881,58561,34250,3425000,0.933126337826252,0.0451,5.4701104,137,0.045240894,47.01,-0.0031531707,110.20273160934448,11.137010278701782
2.5211847,0.004034827,74154,34500,3450000,0.9364710822701454,0.04352,5.4686136,138,0.031868,54.95,-0.0032556984,110.99942755699158,9.728020257055759
2.6128352,0.004993968,51135,34750,3475000,0.9337649419903755,0.055036,5.4630437,139,0.034536716,66.81,-0.0032824941,111.74158215522766,7.02934493213892
2.594982,0.005864733,71883,35000,3500000,0.9356322512030602,0.067128,5.45651,140,0.03176895,48.24,-0.0024019307,112.62793159484863,9.47638568803668
2.0758483,0.0052397614,79731,35250,3525000,0.9541852325201035,0.059352003,5.4532804,141,0.034920458,51.67,-0.0034979489,113.37241458892822,9.42026228606701
2.7766833,0.0057931487,74620,35500,3550000,0.9208810552954674,0.065404,5.4496927,142,0.035394747,48.9,-0.002747571,114.05342078208923,7.601103787124157
2.3737533,0.004714408,83963,35750,3575000,0.9341571107506752,0.053564,5.4490547,143,0.040132374,55.63,-0.003438849,114.76255917549133,8.75532003492117
3.6282291,0.006007989,77350,36000,3600000,0.9154627248644829,0.06990799,5.4444623,144,0.041322812,58.23,-0.0034550223,115.4433662891388,8.669784745573997
2.6740818,0.004916447,57968,36250,3625000,0.9286453351378441,0.056867998,5.4372096,145,0.03371365,61.42,-0.0036666258,116.15594410896301,6.981524749398232
3.4382272,0.0042007198,80453,36500,3650000,0.9077168479561806,0.044352,5.432065,146,0.04102303,52.56,-0.0026700897,116.93899154663086,10.592541759312153
2.5445638,0.0039050647,65196,36750,3675000,0.9374485611915588,0.041508,5.428891,147,0.03105852,46.42,-0.003806381,117.63987517356873,8.63885833054781
2.7515175,0.004477763,65796,37000,3700000,0.9241302609443665,0.050591998,5.428608,148,0.03153637,56.89,-0.0032615445,118.44211339950562,8.829044594913722
3.082501,0.0042869584,79235,37250,3725000,0.9187701791524887,0.048208002,5.4254866,149,0.03061471,55.61,-0.0035723161,119.21761679649353,9.337796140313149
3.169364,0.0058552064,61449,37500,3750000,0.9249570444226265,0.068248,5.418026,150,0.037556306,59.24,-0.0036819167,119.93157267570496,7.815911913216114
2.8464904,0.0046550147,57470,37750,3775000,0.9280683547258377,0.052272003,5.415085,151,0.025705654,53.12,-0.0035952237,120.73766541481018,9.412427558004856
3.7194104,0.0048721023,79274,38000,3800000,0.9185094684362411,0.054892004,5.4100776,152,0.030728992,62.65,-0.003327974,121.59054851531982,7.368994047194719
3.4786358,0.0043436266,78901,38250,3825000,0.916239395737648,0.046592,5.4044747,153,0.028350776,56.7,-0.0034768127,122.26314353942871,7.765166676044464
2.7486444,0.005447857,80423,38500,3850000,0.9293863624334335,0.06042,5.3979754,154,0.030574601,60.3,-0.0035602103,122.92849087715149,7.556744748950004
3.063232,0.0045453217,49952,38750,3875000,0.9357298538088799,0.050031997,5.39079,155,0.03234243,60.65,-0.0032567412,123.70740056037903,8.485003558695317
4.5656986,0.0041463226,41721,39000,3900000,0.9103302881121635,0.044288002,5.3813677,156,0.015550317,75.72,-0.002971881,124.6496651172638,4.321360533237457
3.7993634,0.004224153,33699,39250,3925000,0.9207643270492554,0.045312,5.3747845,157,0.020935576,58.12,-0.003419131,125.72929739952087,7.060178618431092
3.8409798,0.0036738492,53581,39500,3950000,0.9151992872357368,0.038952,5.370425,158,0.026090698,71.23,-0.0030043912,126.9295585155487,6.871902526319027
4.036957,0.0043393876,54621,39750,3975000,0.9174848720431328,0.046344,5.365985,159,0.011335081,77.18,-0.0022799762,127.72294783592224,3.742229554653168
3.8446019,0.0038617454,51628,40000,4000000,0.9120110794901848,0.038916,5.360383,160,0.028495613,69.16,-0.003199255,128.53866481781006,7.3266527631878855
4.112982,0.004711747,86843,40250,4025000,0.9209806695580482,0.053472,5.3510337,161,0.014155604,67.66,-0.0035254671,129.38857984542847,6.4089129120111465
3.925124,0.0049979826,59254,40500,4050000,0.9202273115515709,0.0579,5.3406315,162,0.018191267,71.81,-0.0038287337,130.06205320358276,6.855738925039768
4.967191,0.003868647,55112,40750,4075000,0.893208421766758,0.038492,5.332444,163,0.016950155,69.98,-0.0027477532,130.85953903198242,4.932418878078461
4.8038034,0.0041736485,47871,41000,4100000,0.919023185968399,0.045144,5.327544,164,0.008260337,84.13,-0.0034683687,131.71731662750244,3.8326142916083334
4.5614123,0.0044725994,62177,41250,4125000,0.9124258831143379,0.048024,5.320273,165,0.01144849,74.54,-0.0030485492,132.61445903778076,5.271511232852935
4.6084743,0.0039440216,71054,41500,4150000,0.9078177660703659,0.042392,5.3160276,166,0.027220974,64.59,-0.0030778192,133.38043975830078,7.369754830896855
4.0285134,0.004528401,56747,41750,4175000,0.935912974178791,0.05032,5.313819,167,0.0245254,61.12,-0.0038928085,134.112446308136,7.826544745266437
4.35335,0.0046033124,80331,42000,4200000,0.930180013179779,0.050064005,5.312796,168,0.0188941,67.22,-0.0031604297,134.9771168231964,6.3239406549930575
4.0760884,0.0046311924,82732,42250,4225000,0.9110479429364204,0.050588,5.3127623,169,0.02292762,58.7,-0.0031631987,135.6676366329193,8.747320462465286
3.8152702,0.004691555,79101,42500,4250000,0.9271128848195076,0.053564,5.3146715,170,0.010935672,73.86,-0.003374594,136.34821009635925,4.678937149047852
4.739749,0.0045644795,71276,42750,4275000,0.9154594615101814,0.051012,5.3135343,171,0.031402998,72.33,-0.0033755724,137.06493830680847,6.4341936919093135
