x,y,z
9.66063,3.09941,5.48548
9.64052,3.18367,5.51435
9.61762,3.27013,5.5428
9.59186,3.35851,5.57075
9.56322,3.44848,5.59819
9.53176,3.53974,5.62508
9.49758,3.63199,5.65139
9.46084,3.72497,5.67712
9.42171,3.81845,5.70224
9.38031,3.91225,5.72689
9.33655,4.00628,5.75173
9.29053,4.10061,5.77746
9.24259,4.19544,5.80434
9.19313,4.2911,5.83253
9.14248,4.38801,5.86206
9.0909,4.48664,5.89271
9.03847,4.58744,5.92406
8.9851,4.69082,5.95567
8.93056,4.79705,5.98702
8.87449,4.90615,6.01748
8.81658,5.01781,6.04635
8.75699,5.13114,6.0727
8.69569,5.24547,6.09606
8.63199,5.36045,6.11651
8.56558,5.47533,6.13412
8.49671,5.58921,6.14899
8.42606,5.7013,6.16139
8.35466,5.81117,6.17169
8.2839,5.91873,6.18058
8.21541,6.02484,6.18898
8.15016,6.13181,6.19732
8.08717,6.24248,6.20509
8.02351,6.35821,6.21107
7.95584,6.47764,6.21401
7.88272,6.59699,6.21347
7.80604,6.71246,6.21015
7.72978,6.82369,6.20509
7.65629,6.93376,6.19852
7.58472,7.04562,6.18969
7.51266,7.1601,6.17765
7.43817,7.27582,6.16186
7.36121,7.39039,6.14248
7.28361,7.50251,6.12025
7.20744,7.61302,6.09583
7.13327,7.72412,6.0693
7.05982,7.83756,6.04019
6.98504,7.95334,6.00788
6.90761,8.06991,5.97209
6.82771,8.18532,5.9331
6.74673,8.29849,5.89153
6.66633,8.40968,5.84803
6.58745,8.52021,5.80293
6.51,8.63163,5.75623
6.43304,8.74497,5.70771
6.3553,8.86042,5.65708
6.27518,8.97775,5.6047
6.19118,9.09599,5.55139
6.10313,9.21363,5.49786
6.012,9.32977,5.4445
5.91917,9.4446,5.39081
5.82553,9.5588,5.3361
5.73105,9.67305,5.28114
5.63546,9.78801,5.2258
5.5384,9.90391,5.16887
5.4392,10.0207,5.1098
5.33733,10.1377,5.04795
5.23277,10.2539,4.98285
5.12595,10.368,4.91443
5.01791,10.4784,4.84349
4.91053,10.5847,4.77174
4.80518,10.6889,4.70089
4.70101,10.7947,4.63142
4.59508,10.9041,4.56193
4.48436,11.0159,4.48978
-9.28816,3.70542,5
-9.30298,3.66826,5.00138
-9.31792,3.63093,5.00694
-9.33317,3.59291,5.01868
-9.34877,3.55358,5.03665
-9.36482,3.51234,5.06036
-9.38152,3.4687,5.08964
-9.39906,3.42196,5.12452
-9.41747,3.37139,5.1648
-9.43676,3.3164,5.20987
-9.45705,3.25647,5.25933
-9.47846,3.19124,5.31259
-9.50106,3.12031,5.36907
-9.52483,3.04339,5.42812
-9.5497,2.96027,5.489
-9.57551,2.87086,5.55092
-9.60204,2.77515,5.61312
-9.62903,2.67327,5.67482
-9.65618,2.5654,5.7353
-9.68319,2.4517,5.79395
-9.7097,2.33228,5.85023
-9.73533,2.2072,5.90367
-9.75967,2.07647,5.95386
-9.78228,1.94018,6.00042
-9.80271,1.79848,6.04302
-9.82049,1.65158,6.08138
-9.83516,1.49977,6.11527
-9.84628,1.34338,6.14456
-9.85341,1.18279,6.1692
-9.85614,1.01843,6.1892
-9.85413,0.850742,6.20468
-9.84707,0.680163,6.21588
-9.83473,0.507135,6.22307
-9.81696,0.332065,6.22665
-9.79372,0.155314,6.22707
-9.76503,-0.0228345,6.22481
-9.73094,-0.202189,6.22042
-9.69167,-0.382647,6.21443
-9.64748,-0.564221,6.20734
-9.5987,-0.747033,6.19959
-9.54572,-0.931318,6.19154
-9.48891,-1.11741,6.18345
-9.42867,-1.30573,6.17541
-9.36531,-1.49674,6.1674
-9.2991,-1.69093,6.15924
-9.23018,-1.88875,6.1506
-9.15861,-2.0906,6.14103
-9.0843,-2.29675,6.12999
-9.00705,-2.5073,6.11693
-8.92654,-2.7222,6.1013
-8.84243,-2.94116,6.08263
-8.7543,-3.16378,6.06062
-8.66181,-3.38946,6.03513
-8.56477,-3.61754,6.00625
-8.46304,-3.84736,5.97427
-8.35642,-4.07838,5.93972
-8.24475,-4.31017,5.90339
-8.12816,-4.54239,5.86615
-8.00704,-4.77489,5.82889
-7.88199,-5.00772,5.79238
-7.75377,-5.24113,5.75728
-7.62314,-5.47561,5.72406
-7.4909,-5.71181,5.69299
-7.35774,-5.95051,5.66405
-7.22427,-6.19257,5.63701
-7.09087,-6.43835,5.61079
-6.9576,-6.68814,5.58429
-6.82418,-6.94306,5.55717
-6.68991,-7.20411,5.52902
-6.55391,-7.47157,5.49918
-6.41524,-7.74525,5.4671
-6.27268,-8.02523,5.43255
-6.12538,-8.31094,5.39539
-5.97294,-8.60132,5.35557
-5.8147,-8.89574,5.31337
-5.65016,-9.1935,5.26927
-5.47911,-9.49392,5.22391
-5.30148,-9.79642,5.17804
-5.1175,-10.1005,5.13248
-4.92757,-10.4059,5.08803
-4.73235,-10.7125,5.04543
-4.53258,-11.0202,5.00539
6.15324,7.88275,5
6.1217,7.90736,5.00096
6.09017,7.93197,5.00385
6.05864,7.95658,5.00865
6.0271,7.98119,5.01537
5.99557,8.0058,5.02399
5.96402,8.03039,5.0345
5.93246,8.05498,5.04691
5.90088,8.07953,5.0612
5.86928,8.10406,5.07737
5.83764,8.12853,5.0954
5.80596,8.15294,5.11529
5.77422,8.17727,5.13702
5.74243,8.20147,5.1606
5.71056,8.22553,5.18602
5.6786,8.2494,5.21325
5.64655,8.27302,5.24227
5.61438,8.29634,5.27306
5.5821,8.31928,5.3056
5.54971,8.34175,5.33986
5.51721,8.36365,5.37581
5.48464,8.38489,5.41343
5.45206,8.40534,5.45264
5.41951,8.4249,5.49337
5.38712,8.44346,5.53554
5.35499,8.46094,5.57907
5.32327,8.47728,5.62384
5.29212,8.49245,5.66972
5.26171,8.50645,5.71661
5.23221,8.51935,5.76439
5.20377,8.53122,5.81292
5.17653,8.5422,5.86203
5.15062,8.55245,5.9116
5.12612,8.56218,5.96149
5.10305,8.57162,6.01152
5.08138,8.58101,6.06145
5.06102,8.59059,6.11102
5.04184,8.60059,6.16013
5.02369,8.6112,6.20863
5.00635,8.62261,6.25639
4.98961,8.63506,6.30355
4.97314,8.64874,6.35009
4.95652,8.66364,6.39554
4.93927,8.67977,6.43964
4.9208,8.69708,6.4822
4.9005,8.71529,6.52294
4.87787,8.73388,6.56146
4.85264,8.75206,6.59732
4.82496,8.76889,6.63005
4.79548,8.78351,6.65932
4.76527,8.79534,6.685
4.73567,8.80438,6.70722
4.70782,8.81133,6.72643
4.68228,8.81743,6.74319
4.65869,8.8241,6.75805
4.63587,8.83273,6.77167
4.61161,8.84394,6.78439
4.58351,8.85644,6.79551
4.5509,8.86738,6.80379
4.51582,8.87422,6.80828
4.48136,8.87736,6.809
4.44913,8.87905,6.8066
4.41911,8.88125,6.80189
4.38968,8.88531,6.79526
4.35874,8.89097,6.78644
4.32519,8.89659,6.77471
4.28961,8.9003,6.75939
4.25387,8.90093,6.7404
4.22012,8.89887,6.71831
4.18947,8.89607,6.69427
4.16095,8.89457,6.66914
4.13231,8.89505,6.6429
4.10181,8.8967,6.61492
4.06886,8.898,6.58443
4.03385,8.89752,6.55095
3.99797,8.89441,6.51436
3.9625,8.88864,6.47489
3.92835,8.88082,6.43307
3.89577,8.87181,6.38946
3.86438,8.86235,6.34455
3.83353,8.85279,6.29927
3.80228,8.84297,6.25446
3.77007,8.83237,6.20955
3.737,8.82063,6.16346
3.70345,8.80744,6.11566
3.66987,8.79249,6.06615
3.63686,8.77575,6.015
3.60485,8.75766,5.96212
3.57403,8.73889,5.90764
3.54427,8.72012,5.85189
3.51489,8.70197,5.79503
3.48482,8.68461,5.73695
3.45269,8.66755,5.67766
3.41723,8.64924,5.61704
3.37894,8.62771,5.55436
3.34013,8.60181,5.48913
3.30358,8.57195,5.42175
3.27098,8.54067,5.35339
3.24119,8.51111,5.28511
3.21065,8.48455,5.21697
3.17634,8.4591,5.14771
3.13872,8.43177,5.07561
3.10051,8.40129,4.99999
3.06435,8.36829,4.92148
3.03141,8.33511,4.84173
2.99968,8.30408,4.76206
2.96612,8.27468,4.68167
2.93,8.24467,4.59896
2.89242,8.21237,4.51309
2.85527,8.17727,4.42411
2.82087,8.13973,4.33347
2.79002,8.10163,4.24323
2.76074,8.06498,4.15441
2.73034,8.02998,4.06708
2.69691,7.99533,3.98078
2.65999,7.95914,3.89496
-9.74926,-2.22529,5
-9.74035,-2.26429,5.00184
-9.73133,-2.30347,5.00783
-9.7218,-2.34334,5.01944
-9.71113,-2.38471,5.03771
-9.69865,-2.42833,5.06249
-9.68365,-2.47497,5.09342
-9.66546,-2.52529,5.13001
-9.6434,-2.57987,5.1716
-9.61685,-2.63918,5.21744
-9.58519,-2.70355,5.26672
-9.5479,-2.77322,5.31857
-9.50446,-2.84832,5.37212
-9.45441,-2.92888,5.42649
-9.39729,-3.01496,5.48084
-9.33265,-3.10653,5.53436
-9.26009,-3.20357,5.58625
-9.17929,-3.30597,5.63571
-9.08998,-3.41365,5.682
-8.99195,-3.52653,5.7244
-8.88506,-3.64451,5.76226
-8.76924,-3.76749,5.79496
-8.64455,-3.89535,5.82202
-8.51111,-4.02792,5.84302
-8.36907,-4.16506,5.85772
-8.2186,-4.30659,5.86599
-8.05983,-4.45233,5.8679
-7.89278,-4.60214,5.86365
-7.71737,-4.75589,5.85359
-7.53352,-4.91339,5.83824
-7.34125,-5.0744,5.81822
-7.14058,-5.23861,5.79425
-6.93163,-5.40566,5.76703
-6.71468,-5.5751,5.73726
-6.49012,-5.74642,5.70551
-6.25849,-5.91905,5.67227
-6.02036,-6.09243,5.6379
-5.77628,-6.26597,5.60269
-5.52663,-6.43912,5.56695
-5.27178,-6.61129,5.53098
-5.01208,-6.78187,5.49506
-4.74797,-6.95028,5.45942
-4.47993,-7.11594,5.42425
-4.20847,-7.27828,5.38969
-3.93414,-7.43674,5.3559
-3.65752,-7.59073,5.32306
-3.37929,-7.73963,5.29136
-3.10022,-7.88285,5.26097
-2.82117,-8.01994,5.23197
-2.54311,-8.15057,5.20441
-2.26704,-8.27452,5.17834
-1.99399,-8.39178,5.15379
-1.7249,-8.50256,5.13076
-1.46068,-8.60719,5.10927
-1.20211,-8.70612,5.08933
-0.949886,-8.7999,5.07098
-0.704598,-8.88915,5.05426
-0.466713,-8.97457,5.03923
-0.236616,-9.05684,5.02595
-0.0146259,-9.13673,5.01449
0.199012,-9.21498,5.00487
0.404109,-9.29239,4.99709
0.600529,-9.36973,4.99109
0.788182,-9.44779,4.98678
0.967066,-9.5273,4.98401
1.13731,-9.60897,4.98253
1.29912,-9.69342,4.98198
1.4528,-9.78115,4.98196
1.59926,-9.87232,4.9817
1.73997,-9.96677,4.98031
1.87592,-10.0646,4.97736
2.00758,-10.1663,4.97266
2.13549,-10.2721,4.96605
2.26015,-10.3821,4.95734
2.38204,-10.4968,4.94638
2.50115,-10.6175,4.93341
2.61759,-10.7455,4.91853
2.73202,-10.8807,4.9012
2.84502,-11.0224,4.88072
2.95705,-11.1701,4.85642
3.06864,-11.3233,4.82767
3.18036,-11.4814,4.79395
8.24666,-5.6562,5
8.26928,-5.62322,5.00055
8.29193,-5.5902,5.00237
8.31468,-5.5571,5.00573
8.3376,-5.52381,5.01072
8.36081,-5.49021,5.01739
8.38442,-5.45618,5.02572
8.40857,-5.42155,5.03572
8.43337,-5.38615,5.04734
8.45895,-5.3498,5.06053
8.48543,-5.31227,5.07524
8.51292,-5.27335,5.09139
8.5415,-5.23279,5.10889
8.57124,-5.19035,5.12762
8.60218,-5.14576,5.14746
8.63433,-5.09875,5.1683
8.66767,-5.04903,5.19006
8.70213,-4.99632,5.21261
8.73758,-4.94037,5.23582
8.77382,-4.88094,5.25954
8.81061,-4.81784,5.28366
8.84764,-4.75093,5.30805
8.88458,-4.68014,5.33259
8.92105,-4.60549,5.35716
8.95669,-4.52711,5.38164
8.99113,-4.44518,5.40596
9.02405,-4.35995,5.43005
9.05515,-4.27172,5.45387
9.08419,-4.18082,5.47742
9.11097,-4.08762,5.50072
9.13538,-3.99253,5.5238
9.15736,-3.89597,5.54669
9.17696,-3.79837,5.56945
9.19427,-3.70015,5.59211
9.20985,-3.60172,5.61407
9.22405,-3.50329,5.6352
9.23698,-3.40493,5.65616
9.249,-3.30652,5.67706
9.26049,-3.20792,5.69786
9.27173,-3.10875,5.71964
9.28295,-3.00866,5.74302
9.29429,-2.90756,5.76718
9.30577,-2.80558,5.79107
9.31743,-2.70289,5.81392
9.32943,-2.59953,5.83555
9.34202,-2.49556,5.85576
9.3556,-2.39086,5.87464
9.37051,-2.28522,5.89218
9.38667,-2.17857,5.9079
9.40379,-2.07094,5.92128
9.42169,-1.96223,5.93211
9.44016,-1.85245,5.94015
9.45895,-1.74174,5.94517
9.47791,-1.63009,5.94714
9.49689,-1.51744,5.94614
9.51572,-1.40376,5.94226
9.53425,-1.28903,5.93567
9.55226,-1.17326,5.92656
9.56959,-1.05651,5.91518
9.58608,-0.938944,5.90178
9.60166,-0.820748,5.88662
9.6163,-0.702168,5.86996
9.6301,-0.583478,5.852
9.64334,-0.4649,5.83254
9.65633,-0.346556,5.81103
9.66931,-0.228542,5.78737
9.68253,-0.110949,5.76175
9.69627,0.00622425,5.73421
9.71083,0.123061,5.70481
9.72653,0.239733,5.67358
9.7436,0.356509,5.64055
9.76223,0.473734,5.60573
9.78247,0.591807,5.56912
9.80425,0.711126,5.53071
9.82735,0.832036,5.49046
9.85144,0.954792,5.44838
9.87613,1.07948,5.40446
9.90103,1.20601,5.35872
9.92583,1.33419,5.31123
9.95028,1.46375,5.26204
9.97423,1.59442,5.21123
9.99763,1.72592,5.15893
10.0204,1.858,5.10539
10.0427,1.99041,5.05095
10.0646,2.12294,4.99586
10.0864,2.25543,4.93945
10.1082,2.38782,4.88095
10.1302,2.52,4.82148
10.1529,2.65184,4.76253
10.1763,2.7834,4.70301
10.2002,2.91481,4.64147
10.2246,3.04612,4.57809
10.2495,3.1774,4.5131
10.2751,3.30875,4.44675
10.3013,3.44022,4.37931
10.328,3.57184,4.31112
10.3552,3.70358,4.24318
10.3829,3.83529,4.17638
10.4111,3.96669,4.11096
10.44,4.09744,4.04715
10.4698,4.22728,3.98501
10.501,4.35615,3.92455
10.5342,4.48426,3.86567
10.5697,4.61213,3.8082
7.67935,-6.40528,5
7.70497,-6.37456,5.00055
7.73062,-6.34381,5.00236
7.75636,-6.31298,5.00568
7.78228,-6.28196,5.01063
7.80849,-6.25063,5.01724
7.83511,-6.21885,5.02552
7.86228,-6.18647,5.03546
7.8901,-6.15331,5.04702
7.91871,-6.11919,5.06015
7.94823,-6.08389,5.07478
7.97875,-6.0472,5.09082
8.01037,-6.00887,5.10819
8.04315,-5.96865,5.12679
8.07714,-5.92627,5.14653
8.11235,-5.88145,5.16733
8.14875,-5.83389,5.18911
8.18624,-5.78332,5.21173
8.22465,-5.7295,5.23506
8.26377,-5.67222,5.25896
8.3033,-5.61133,5.28328
8.34294,-5.54673,5.30789
8.38233,-5.4784,5.33266
8.42107,-5.40638,5.35749
8.45882,-5.3308,5.38229
8.49519,-5.25183,5.407
8.52988,-5.16976,5.43155
8.5626,-5.08494,5.45589
8.59315,-4.99774,5.47998
8.62134,-4.90854,5.50383
8.64709,-4.81779,5.52745
8.6704,-4.72591,5.55087
8.69133,-4.63333,5.57406
8.71006,-4.54047,5.59702
8.72709,-4.44768,5.61921
8.74284,-4.35514,5.64036
8.75747,-4.26291,5.66093
8.77132,-4.17093,5.68112
8.78469,-4.07901,5.70096
8.79787,-3.98691,5.72141
8.81105,-3.8943,5.74297
8.82434,-3.80109,5.76492
8.83774,-3.70727,5.78658
8.85133,-3.61291,5.80746
8.86524,-3.5181,5.82718
8.87967,-3.42289,5.8453
8.895,-3.32719,5.86194
8.91163,-3.23075,5.87729
8.92952,-3.13346,5.89093
8.94838,-3.03529,5.90233
8.96804,-2.93613,5.91127
8.98828,-2.83598,5.91751
9.00885,-2.73495,5.92079
9.02963,-2.63291,5.92122
9.05045,-2.52974,5.91895
9.07113,-2.42542,5.91412
9.09148,-2.31994,5.90688
9.11131,-2.2134,5.89738
9.13046,-2.1059,5.88583
9.14883,-1.99764,5.87238
9.16634,-1.88882,5.8572
9.183,-1.77968,5.8405
9.19889,-1.67047,5.82247
9.21415,-1.56141,5.80329
9.22906,-1.45265,5.78262
9.2439,-1.34421,5.75999
9.25887,-1.23617,5.73535
9.27419,-1.12856,5.70871
9.29012,-1.02136,5.68016
9.30695,-0.914494,5.64982
9.32495,-0.807774,5.6178
9.34432,-0.700944,5.58417
9.36515,-0.593691,5.54894
9.38743,-0.485691,5.51212
9.41104,-0.376639,5.47371
9.43577,-0.266277,5.43375
9.46136,-0.154448,5.39221
9.48749,-0.0411097,5.34911
9.51386,0.0736515,5.30448
9.54023,0.189635,5.25834
9.56646,0.306613,5.2107
9.59246,0.42436,5.16162
9.61822,0.542664,5.11118
9.64374,0.661352,5.05963
9.66909,0.780271,5.00732
9.69435,0.899279,4.95455
9.71963,1.01827,4.9016
9.74499,1.13717,4.84849
9.77047,1.25587,4.79547
9.79603,1.37435,4.74162
9.82164,1.49261,4.68568
9.84728,1.61061,4.62781
9.87299,1.72833,4.5682
9.89876,1.84559,4.50815
9.92462,1.9622,4.44896
9.95054,2.0781,4.39067
9.97652,2.1932,4.33334
10.0026,2.30737,4.27707
10.0289,2.42048,4.22183
10.0557,2.53244,4.16746
10.0832,2.64322,4.1138
10.1119,2.7529,4.06072
10.1421,2.86167,4.00814
10.1742,2.9699,3.95606
10.2085,3.07815,3.90446
10.245,3.1871,3.85325
10.2834,3.29742,3.80231
10.3232,3.40977,3.75185
10.3635,3.52455,3.7021
10.4033,3.64164,3.65305
10.4417,3.7604,3.6046
10.4782,3.87984,3.55658
10.5127,3.99874,3.5088
-4.37115,-8.99405,5
-4.33517,-9.01154,5.00097
